sheet,participant,condition,start_choice,stop_choice,turn_s,start_time_s,outbound_end_s,return_start_s,stop_time_s,outbound_duration_s,return_duration_s,outbound_speed_mps,return_speed_mps,outbound_vertical_mean,outbound_vertical_sd,outbound_vertical_range,outbound_lateral_mean,outbound_lateral_sd,outbound_lateral_range,outbound_ap_mean,outbound_ap_sd,outbound_ap_range,return_vertical_mean,return_vertical_sd,return_vertical_range,return_lateral_mean,return_lateral_sd,return_lateral_range,return_ap_mean,return_ap_sd,return_ap_range
SWEAT_008DTG1,SWEAT-008,DTG1,thresh,thresh,9.792495306443795,2.68,7.792495306443795,11.792495306443795,15.41,5.112495306443796,3.6175046935562047,0.5867976047271468,0.8293009281629532,9.312649904296876,1.142273443524412,9.01711,-0.218869673828125,0.7304022178159043,6.210006,3.0827352578125,1.0107289180347148,8.803611,9.463321204419891,0.9862942617851264,8.201211999999998,-0.3633845745856353,0.7595758179936116,6.177495,2.4598572541436465,1.1534402223757154,6.170812
SWEAT_009DTG1,SWEAT-009,DTG1,thresh,turn,22.67,11.08,20.67,24.67,34.17,9.590000000000002,9.5,0.3128258602711157,0.3157894736842105,9.530891336458334,0.6219732741591897,4.793954,0.4847497354166666,0.4820511669789067,3.957889,2.238734870833333,0.5717252325056409,3.741429,9.443453368033648,0.534576027966296,3.652441,0.4497735835962145,0.4250585457951703,3.002809,2.6077093123028394,0.5023223002023801,2.386121
SWEAT_010DTG1,SWEAT-010,DTG1,thresh,turn,12.11,0.0,10.11,14.11,24.61,10.11,10.5,0.2967359050445104,0.2857142857142857,9.448963457509883,0.6273165200141482,5.447986,-0.0363560088932806,0.7227361307091624,7.021993,2.618318685770751,0.6346698200439864,3.512684,9.44088631018078,0.6618560195806564,5.836487,-0.1472458420551855,0.6653901351313669,5.712521,2.6384286165556614,0.5606271540857437,3.6790629999999993
SWEAT_011DTG1,SWEAT-011,DTG1,turn,turn,21.09,6.59,19.09,23.09,35.59,12.5,12.500000000000004,0.24,0.2399999999999999,9.250393230215828,0.6281287364004902,5.910869999999999,0.2577353533173461,0.4070157641806501,2.923951,3.267826451638689,0.5605009182128617,3.4634970000000003,9.283375804156677,0.5310809274151087,4.800044,0.1883793836930455,0.4111253544334737,2.369365,3.160286333333333,0.6392282025486663,4.112832
SWEAT_012DTG1,SWEAT-012,DTG1,thresh,turn,47.03,32.78,45.03,49.03,60.03,12.25,11.0,0.2448979591836734,0.2727272727272727,9.18385169249592,0.5805454783624568,6.5094520000000005,0.0006675530179445,0.6381412562821046,6.232433,3.408115579934748,0.659981916609826,4.563426,9.232495607629428,0.684216957840268,8.633607000000001,0.0117445903723887,0.6804569879682687,5.73902,3.346420422343324,0.7132666719965896,4.740308000000001
SWEAT_014DTG1,SWEAT-014,DTG1,thresh,turn,10.19,1.81,8.19,12.19,19.19,6.379999999999999,6.999999999999998,0.4702194357366772,0.4285714285714286,9.30577840688576,1.1510815261142968,7.316249999999999,-0.6897860594679186,0.9166704368617504,5.453962000000001,3.0384932081377154,0.8589278011026344,5.001328,9.368781837142857,1.1779436341913074,6.748520000000001,-0.6880078257142856,1.033448867578934,7.819421,2.819914195714285,0.8967797616937284,4.397736999999999
SWEAT_015DTG1,SWEAT-015,DTG1,turn,turn,7.11,0.0,5.11,9.11,14.61,5.11,5.5,0.5870841487279843,0.5454545454545454,9.22416318359375,1.263656403280851,7.448122000000001,-0.236540482421875,0.962198205037449,6.022867,3.343832423828125,1.0113333612009994,5.6486600000000005,9.214589422867515,1.3594371255966973,7.650129,-0.2534517277676951,0.8797354507902599,5.857609,3.3481734210526315,1.0398353268906786,6.565727
SWEAT_016DTG1,SWEAT-016,DTG1,thresh,turn,9.03,1.78,7.029999999999999,11.03,17.03,5.249999999999999,6.000000000000002,0.5714285714285715,0.4999999999999998,9.528377777142856,1.02799122388216,5.9032230000000006,-0.1434915695238094,0.9461004328613046,5.394144,2.3069526609523816,1.0949025079650008,5.484486,9.51189103327787,0.9273126758499112,5.431305,-0.0546440399334442,0.9703381173924344,5.2424990000000005,2.4082951580698837,0.9362425338256586,4.372315
SWEAT_017DTG1,SWEAT-017,DTG1,turn,turn,8.42,0.0,6.42,10.42,17.42,6.42,7.000000000000002,0.4672897196261682,0.4285714285714284,9.312377645412132,0.9141290640996116,5.305780000000001,-0.0960466096423017,0.7433986514083788,4.422632,3.050032884914464,0.9451409098822978,4.671771,9.303483325249644,1.085455246390788,8.381692999999999,-0.171249580599144,0.8649703706113498,8.279091,3.015859905848787,1.1505093664544912,6.722988
SWEAT_018DTG1,SWEAT-018,DTG1,thresh,turn,13.44,3.25,11.44,15.44,21.94,8.19,6.499999999999998,0.3663003663003663,0.4615384615384617,9.353927757317074,0.8025631996136797,7.526205,-0.1854447670731707,0.7669827933252722,4.671794,2.9077156353658533,0.9187971250882424,4.666733,9.172093561538462,1.0520372323842346,11.532967,-0.2291953307692308,0.8968900145426338,7.87622,3.5178651107692307,1.1741938975751427,9.298791
